function,physical,key,reserved,global,Visualisation,FullscreenVideo,FullscreenInfo,VideoOSD,MusicOSD,VirtualKeyboard,ContextMenu,VideoPlaylist,MusicPlaylist
Rotate,Rec,q,,Queue,,,,,,,,Delete,Delete
ContextMenu,DVR,c,,ContextMenu,,,,,,,,,
Screenshot,Guide,l,,Playlist,,,,,,,,,
Play,Play,p,,Play,,,,,,,,,
Pause,Pause,space,,PlayPause,,,,,,Backspace,,,
ToggleFullscreen,Menu,tab,,FullScreen,FullScreen,FullScreen,,,,Symbols,,,
SkipBack,Rew (short),comma,,SkipPrevious,,,,,,CursorLeft,,,
Rewind,Rew (long),r,,Rewind,,,,,,CursorLeft,,,
SkipForward,Ffwd (short),period,,SkipNext,,,,,,CursorRight,,,
FastForward,Ffwd (long),f,,FastForward,,,,,,CursorRight,,,
Stop,Stop,x,,Stop,,,,,,Enter,,,
Back,Exit,escape,,PreviousMenu,FullScreen,FullScreen,,Close,Close,Close,,Playlist,Playlist
VolumeUp,Vol+,,Recv Vol+,,,,,,,,,,
VolumeDown,Vol-,,Recv Vol-,,,,,,,,,,
Mute,Mute,,Recv Mute,,,,,,,,,,
DirectionUp,Up,up,,Up,Seek(30),BigStepForward,,,,,,,
DirectionDown,Down,down,,Down,Seek(-30),BigStepBack,,,,,,,
DirectionLeft,Left,left,,Left,Seek(-5),StepBack,,,,,,,
DirectionRight,Right,right,,Right,Seek(5),StepForward,,,,,,,
PageUp,Chan+,pageup,,PageUp,,,,,,CursorRight,PageUp,,
PageDown,Chan-,pagedown,,PageDown,,,,,,CursorLeft,PageDown,,
ParentFolder,Back,backspace,,ParentDir,,,,,,,,,
Info,Info,i,,Info,OSD,OSD,Close,Close,Close,Space,,MoveItemUp,MoveItemUp
ToggleWatched,,w,,ToggleWatched,,,,,,,,,
Red,Red,o,,OSD,,,,,,,,,
Green,Green,t,,ShowTime,,,,,,,,,
Yellow,Yellow,,,,,,,,,,,,
Blue,Blue,h,,Container.Refresh,,,,,,,,,
AudioDelay+,,u,,UpdateLibrary(video),,,,,,,,,
AspectRatio,,win+shift+r,Reboot Linux,,,,,,,,,,
ZoomLevel1,,win+shift+e,Reboot Windows,,,,,,,,,,
AudioDelay,,win+shift+w,Linux to Windows,,,,,,,,,,
CodecInfo,,win+shift+s,Suspend,,,,,,,,,,
AudioDelay-,,leftquote,Poke,,,,,,,,,,
ZoomNormal,,,Wake,,,,,,,,,,
1,keypad 1,one,,Number1,,,,,,,,,
2,keypad 2,two,,Number2,,,,,,,,,
3,keypad 3,three,,Number3,,,,,,,,,
4,keypad 4,four,,Number4,,,,,,,,,
5,keypad 5,five,,Number5,,,,,,,,,
6,keypad 6,six,,Number6,,,,,,,,,
7,keypad 7,seven,,Number7,,,,,,,,,
8,keypad 8,eight,,Number8,,,,,,,,,
9,keypad 9,nine,,Number9,,,,,,,,,
0,keypad 0,zero,,Number0,,,,,,,,,
