function,physical,"lirc name",reserved,global,Visualisation,FullscreenVideo,FullscreenInfo,VideoOSD,MusicOSD,VirtualKeyboard,ContextMenu,VideoPlaylist,MusicPlaylist
Play,Play,KEY_PLAY,,PlayPause,,,,,,,,,
Stop,Stop,KEY_STOP,,Stop,,,,,,Enter,,,
Pause,Pause,KEY_PAUSE,,Pause,,,,,,Backspace,,,
Record,Record,KEY_RECORD,,Queue,,,,,,,,Delete,Delete
"Fast Forward",">> (long)",KEY_FORWARD,,FastForward,,,,,,CursorRight,,,
Rewind,"<< (long)",KEY_REWIND,,Rewind,,,,,,CursorLeft,,,
Skip,>>,KEY_NEXT,,SkipNext,,,,,,,,,
Replay,<<,KEY_AGAIN,,SkipPrevious,,,,,,,,,
Clear,Exit,KEY_CLEAR,,PreviousMenu,FullScreen,FullScreen,,Close,Close,Close,,Playlist,Playlist
DVDMenu,Menu,KEY_DVD,,FullScreen,FullScreen,FullScreen,,,,Symbols,,,
"Volume Up",Vol+,KEY_VOLUMEUP,"Recv Vol+",,,,,,,,,,
"Volume Down",Vol-,KEY_VOLUMEDOWN,"Recv Vol-",,,,,,,,,,
"Channel Up",Chan+,KEY_CHANNELUP,,PageUp,,,,,,CursorRight,PageUp,,
"Channel Down",Chan-,KEY_CHANNELDOWN,,PageDown,,,,,,CursorLeft,PageDown,,
OK,OK,KEY_OK,,Select,,,,,,,,,
"Direction Up",Up,KEY_UP,,Up,Seek(30),BigStepForward,,,,,,,
"Direction Down",Down,KEY_DOWN,,Down,Seek(-30),BigStepBack,,,,,,,
"Direction Left",Left,KEY_LEFT,,Left,Seek(-5),StepBack,,,,,,,
"Direction Right",Right,KEY_RIGHT,,Right,Seek(5),StepForward,,,,,,,
Mute,Mute,KEY_MUTE,"Recv Mute",,,,,,,,,,
Back,Back,KEY_BACK,,ParentDir,,,,,,,,,
"Recorded TV",DVR,RecTV,,ContextMenu,,ShowSubtitles,,,,Backspace,,MoveItemDown,MoveItemDown
Guide,Guide,Guide,,Playlist,,,,,,,,,
Info,Info,More,,Info,OSD,OSD,Close,Close,Close,Space,,MoveItemUp,MoveItemUp
Red,Red,KEY_RED,,OSD,,,,,,,,,
Green,Green,KEY_GREEN,,ShowTime,,,,,,,,,
Yellow,Yellow,KEY_YELLOW,,,,,,,,,,,
Blue,Blue,KEY_BLUE,,Container.Refresh,,,,,,,,,
1,"keypad 1",KEY_1,,Number1,,,,,,,,,
2,"keypad 2",KEY_2,,Number2,,,,,,,,,
3,"keypad 3",KEY_3,,Number3,,,,,,,,,
4,"keypad 4",KEY_4,,Number4,,,,,,,,,
5,"keypad 5",KEY_5,,Number5,,,,,,,,,
6,"keypad 6",KEY_6,,Number6,,,,,,,,,
7,"keypad 7",KEY_7,,Number7,,,,,,,,,
8,"keypad 8",KEY_8,,Number8,,,,,,,,,
9,"keypad 9",KEY_9,,Number9,,,,,,,,,
0,"keypad 0",KEY_0,,Number0,,,,,,,,,
.-,"keypad .",Star,,,,,,,,Space,,,
E,"keypad E",Hash,,,,,,,,Enter,,,
"Power Toggle",,KEY_POWER,,,,,,,,,,,
"Power On",,BD6,"Reboot Linux to Windows",,,,,,,,,,
"Power Off",,BD5,,,,,,,,,,,
Teletext,,Teletext,Kodi,,,,,,,,,,
Live,,LiveTV,Steam,,,,,,,,,,
Aspect,,Aspect,"Reboot Linux",,,,,,,,,,
Media,,KEY_HOME,,,,,,,,,,,
Subtitle,,BB2,,,,,,,,,,,
"My TV",,KEY_TV,"Reboot Windows",,,,,,,,,,
"My Videos",,KEY_VIDEO,,,,,,,,,,,
"My Music",,KEY_AUDIO,,,,,,,,,,,
"My Pictures",,Pictures,,,,,,,,,,,
"My Radio",,KEY_RADIO,,,,,,,,,,,
Audio,,BB3,,ToggleWatched,,,,,,,,,
"Green Button",,KEY_HOME,,XBMC.UpdateLibrary(video),,,,,,,,,
